,hotel_name,Class of Rating,Rating
521,Hilton Times Square,Very Good,8.5
522,West 80th Apartment,None,None
523,Two Bedroom Apartment with City View - Lincoln Center,Good,7.8
524,Global Luxury Suites at The Liane,None,None
525,Beautiful Downtown Apartments NYC,None,None
526,West 80th Apartment,None,None
527,Two Bedroom Apartment with City View - Lincoln Center,Good,7.8
528,Global Luxury Suites at The Liane,None,None
529,Stunning Duplex By Upper East Side,None,None
530,Park Ave Apartments Midtown Next to Times Square,Review score,6.5
531,Crowne Plaza HY36 Midtown Manhattan,Excellent,8.9
532,Chelsea Cabins,Good,7.3
533,Apartment in Central New York,Good,7.7
534,InterContinental New York Barclay Hotel,Excellent,8.9
535,The Maritime Hotel,Excellent,8.9
536,Euro - Lovely Apartment,None,None
537,Pod 51,Very Good,8.0
538,Washington Jefferson at Times Square,Good,7.6
539,339 East Apartment #232482 Apts,None,None
540,Private Room in Time Square,Awesome,9.2
541,Luxury 2 Bedrooms Upper West Side Manhattan,None,None
542,Luxurious Two Bedroom Apartment in Doorman Building - Lincoln Center,Excellent,8.6
543,Nolitan Hotel SoHo - New York,Excellent,8.7
544,Hotel Elysee by Library Hotel Collection,Awesome,9.2
545,Massive 3 Bedroom Loft in SoHo,None,None
546,Library Hotel by Library Hotel Collection,Awesome,9.3
547,329 East Apartment #232480 Apts,None,None
548,Global Luxury Suites at Sky,None,None
549,The Madison House (Sleeps 6),Excellent,8.9
550,East 81 Studio #232478 Apts,None,None
551,CITY ROOMS NYC - Chelsea,Very Good,8.0
552,Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,Very Good,8.3
553,339 East Apartment #232483 Apts,None,None
554,329 East Apartment #232459 Apts,None,None
555,Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,Very Good,8.3
556,339 East Apartment #232483 Apts,None,None
557,329 East Apartment #232459 Apts,None,None
558,329 East Apartment #232399 Apts,None,None
559,Hilton Garden Inn West 35th Street,Excellent,8.6
560,337 East Apartment #232455 Apts,None,None
561,Studio Apartment - United Nations Plaza,Good,7.9
562,337 East Apartment #232479 Apts,None,None
563,East 94th Apartment #232466 Apts,None,None
564,Chelsea Terrace II,None,None
565,335 East Apartment #232444 Apts,None,None
566,One Bedroom Apartment - Allen Street # 28,Good,7.7
567,335 East Apartment #232477 Apts,None,None
568,Hamilton Row,None,None
569,East 81 Studio #232468 Apts,None,None
570,East 81 Studio #232468 Apts,None,None
